time,open,high,low,close,volume
2025-07-22 01:00:00,1445.15,1451.73,1442.36,1451.47,7852
2025-07-22 05:00:00,1451.58,1458.5,1443.41,1452.52,7550
2025-07-22 09:00:00,1452.49,1454.56,1438.18,1449.17,8848
2025-07-22 13:00:00,1449.06,1457.27,1436.04,1445.07,9409
2025-07-22 17:00:00,1445.02,1454.49,1436.78,1441.64,8891
2025-07-22 21:00:00,1441.72,1443.56,1439.93,1442.62,4494
2025-07-23 01:00:00,1443.71,1445.74,1433.21,1441.58,7262
2025-07-23 05:00:00,1441.55,1450.17,1437.13,1442.2,6986
2025-07-23 09:00:00,1442.13,1458.94,1441.57,1453.66,8473
2025-07-23 13:00:00,1453.67,1455.68,1422.49,1426.78,8894
2025-07-23 17:00:00,1426.85,1440.91,1418.78,1419.13,9102
